idx,Var1,x____,x__,x_____1,x___1,x_____2,x___2,x___3,x_____3,x___4
1,56,1159,0,1187,0.04691463,6314136,7695.623047,0.883333325,2.55093872681477,0.0022009825080369
1,57,1159,0,1187,0.04691425,6284668,7847.474609,0.883333325,2.55089740269944,0.0022009468530625
1,58,1159,0,1187,0.04691387,6255199.5,7999.326172,0.883333325,2.55085607891883,0.0022009111983769
1,59,1159.199951,0,1187,0.04691362,6311281.5,8186.428711,0.890000045,2.5512689621084,0.0022008877415044
1,60,1159.400024,0,1187,0.046913367,6367364,8373.532227,0.896666646,2.55168177821973,0.00220086400327669
1,61,1159.599976,0,1187,0.046913117,6423445.5,8560.634766,0.903333366,2.55209464508176,0.00220084054665569
1,62,1159.800049,0,1187,0.046912868,6479527.5,8747.737305,0.909999967,2.55250787782634,0.00220081718398542
1,63,1160,0,1187,0.046912614,6535609.5,8934.84082,0.916666687,2.55292028868308,0.002200793352313
1,64,1159.800049,0,1187,0.046897978,6536064.5,8856.203125,0.913333297,2.55088781867014,0.00219942034048848
1,65,1159.599976,0,1187,0.046883337,6536519.5,8777.56543,0.909999967,2.54885558270802,0.00219804728825557
1,66,1159.400024,0,1187,0.046868701,6536974.5,8698.928711,0.906666696,2.54682520241593,0.0021966751334274
1,67,1159.199951,0,1187,0.04685406,6537429.5,8620.291016,0.903333366,2.54479505872035,0.0021953029384836
1,68,1159,0,1187,0.046839423,6537885,8541.65332,0.899999976,2.54276666294162,0.00219393154697293
1,69,1159.199951,0,1187,0.046851538,6531100,8275.913086,0.903333366,2.54452111019128,0.00219506661296544
1,70,1159.400024,0,1187,0.046863653,6524316,8010.172363,0.906666696,2.54627661963046,0.00219620197250441
1,71,1159.599976,0,1187,0.046875764,6517531,7744.432617,0.909999967,2.54803222304076,0.0021973372505837
1,72,1159.800049,0,1187,0.046887878,6510747,7478.692383,0.913333297,2.54978921298226,0.00219847310334288
1,73,1160,0,1187,0.046899993,6503962.5,7212.95166,0.916666687,2.55154683834406,0.00219960934340005
1,74,1160,0,1187,0.046900496,6448845.5,7009.579102,0.923333347,2.55160156905338,0.00219965652504602
1,75,1160,0,1187,0.046901003,6393729,6806.206055,0.930000007,2.55165673559097,0.00219970408240601
1,76,1160,0,1187,0.046901505,6338612.5,6602.833984,0.936666667,2.55171135866743,0.00219975117126503
1,77,1160,0,1187,0.046902008,6283495.5,6399.460938,0.943333328,2.55176609114119,0.00219979835443206
1,78,1160,0,1187,0.046902515,6228379,6196.088379,0.949999988,2.55182125945726,0.00219984591332523
